,course_name,picture_link,course_link,itemid,category
97,【51CTO学院】实战微课-5分钟带你学会 Oracle数据库基础管理2,http://ckimg.baidu.com/course/2017-09/20/defc64d5636e70a05aa8fc6d5c410a27.jpg,http://chuanke.baidu.com/1953475-233699.html,28,computer
98,【51CTO学院】实战微课-5分钟带你学会 Oracle数据库下载( 12.2 ),http://ckimg.baidu.com/course/2017-09/20/c8ee02ed40ef31a239eefad4c46be96c.jpg,http://chuanke.baidu.com/1953475-233608.html,29,computer
99,【51CTO学院】实战微课-5分钟带你学会 Oracle数据库创建( 12.2 ),http://ckimg.baidu.com/course/2017-09/20/88b66261d9e4f26e135f9a1a2db2d4f2.jpg,http://chuanke.baidu.com/1953475-233612.html,27,computer
100,【51CTO学院】实战微课-5分钟轻松掌握Oracle的spool命令,http://ckimg.baidu.com/course/2017-09/20/fdc36cf89a694c9fb966f1b7423a7970.jpg,http://chuanke.baidu.com/1953475-233606.html,32,computer
101,photoshop零基础《现学现用》实例教程（长期收集学员常见提问）,http://ckimg.baidu.com/course/2016-03/03/84a3ee563eedb55955ffed2aa665197e.jpg,http://chuanke.baidu.com/1244516-162728.html,261,software
102,零基础前端入门 系列之JavaScript基础,http://ckimg.baidu.com/course/2016-01/26/fd6085c07b191c142e26bc301029e4a9.jpg,http://chuanke.baidu.com/1899056-160291.html,462,software
103,PS 零基础速成精品案例课,http://ckimg.baidu.com/course/2016-09/02/f90a81fcab7f79e93c1f6d2f64c30a0e.jpg,http://chuanke.baidu.com/4279802-149169.html,275,software
104,PS 零基础淘宝美工养成记,http://ckimg.baidu.com/course/2016-09/03/78b91c8963cf057cdec41b3420ba1006.jpg,http://chuanke.baidu.com/4279802-149177.html,276,software
105,PS 零基础创意合成案例课,http://ckimg.baidu.com/course/2016-09/02/fdd4b8eb055acee53c0c9e5e5ca48a96.jpg,http://chuanke.baidu.com/4279802-149170.html,274,software
106,AutoCAD免费课程,http://ckimg.baidu.com/course/2015-04/24/d76e2d3958f14cf15e654078b77332b7.jpg,http://chuanke.baidu.com/3618925-134626.html,180,software
107,PS零基础VIP直播体验课,http://ckimg.baidu.com/course/2016-09/06/37ae685db87a06cc4c5e1fa70557710d.jpg,http://chuanke.baidu.com/4279802-148943.html,277,software
108,NX8.5&9.0从入门到提高系列教程(建模篇)-唐康林(持续更新),http://ckimg.baidu.com/course/2015-10/12/0d091b885a8cb427a118d899764c7ee9.jpg,http://chuanke.baidu.com/3405460-129983.html,250,software
109,photoshop从入门到精通——修图调色,http://ckimg.baidu.com/course/2014-11/27/1ec9d885f8733688518476e0d7f7f330.jpg,http://chuanke.baidu.com/1244516-118301.html,259,software
110,小米主题制作——从入门到精通,http://ckimg.baidu.com/course/2015-03/20/8a0c253b59af9b64a6611a6cc8e1e298.jpg,http://chuanke.baidu.com/1341138-131711.html,595,software
111,photoshop从入门到精通——入门概念,http://ckimg.baidu.com/course/2014-11/27/35ebfd64e6ff5706bfb07ad187891c72.jpg,http://chuanke.baidu.com/1244516-118296.html,258,software
112,Photoshop CC零基础快速入门【基础班免费看】,http://ckimg.baidu.com/course/2014-12/03/aafaf34110823cb9f919219646e89778.jpg,http://chuanke.baidu.com/1942485-118990.html,255,software
113,AUTOCAD2007平面制图  第1章 CAD最基本形状（免费试听）,http://ckimg.baidu.com/course/2015-06/09/810cd58d469bb512ec46ceba0a65b43e.jpg,http://chuanke.baidu.com/1244516-117936.html,179,software
114,零基础快速学习CAD绘图设计、半个月成为CAD高手【海滨教育】,http://ckimg.baidu.com/course/2017-07/06/1c4761088a2020774092ebacf486427e.jpg,http://chuanke.baidu.com/8744658-227345.html,461,software
115,ps视频教程 从入门到精通---火星人教育,http://ckimg.baidu.com/course/2014-11/20/2bb79304c66597f4c62332cafc52dd70.jpg,http://chuanke.baidu.com/1827213-117660.html,278,software
116,Photoshop CS3免费视频教程PS练习实例50讲（七天速成）,http://ckimg.baidu.com/course/2014-06/29/02f2aed0e9c648705334e61795e714eb.jpg,http://chuanke.baidu.com/1244516-99963.html,256,software
117,oeasy和你玩转pr(premiere教程),http://ckimg.baidu.com/course/2014-07/23/6bbaeffb0030306eff508653d2064c21.jpg,http://chuanke.baidu.com/1330850-103922.html,252,software
118,html(div css)视频教程(带项目实战),http://ckimg.baidu.com/course/2014-06/01/7af1c9b0a5c758fb5fc239df8d66dd30.jpg,http://chuanke.baidu.com/1731623-101679.html,224,computer
119,corelDRAW X6视频教程 第1章 基础常识（试听）,http://ckimg.baidu.com/course/2014-04/14/d13cf3480cff4a5e5a5938d1262f6f96.jpg,http://chuanke.baidu.com/1244516-99696.html,186,software
120,Photoshop初学入门必备——选区图层变换钢笔等基础知识（免费）,http://ckimg.baidu.com/course/2017-02/16/d2e005cc01aa529ca34d71d1037273bb.jpg,http://chuanke.baidu.com/1244516-92795.html,257,software
121,《ACE公开课》零基础入门直达流利口语（手绘影视升级版）,http://ckimg.baidu.com/course/2016-11/01/538a1df46331c2b692f49a16635fee18.jpg,http://chuanke.baidu.com/1013047-154308.html,7,language
122,看电视剧《走遍美国》学实用口语,http://ckimg.baidu.com/course/2017-07/18/ad371aa0be078f43a59fddd7b5de7009.jpg,http://chuanke.baidu.com/1013047-104770.html,446,language
